accuracy,dataset,comparison_thr,model,thr,tipo,accuracy_value,TP,FP,FN,TN,0.precision,0.recall,0.f1-score,0.support,1.precision,1.recall,1.f1-score,1.support,macro avg.precision,macro avg.recall,macro avg.f1-score,macro avg.support,weighted avg.precision,weighted avg.recall,weighted avg.f1-score,weighted avg.support
0.54,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.3_with_chi.csv,fake,SVC,0.4,1,0.54,499,459,1,41,0.5208768267223383,0.998,0.6844993141289437,500.0,0.9761904761904762,0.082,0.15129151291512916,500.0,0.7485336514564072,0.54,0.4178954135220364,1000.0,0.7485336514564072,0.54,0.41789541352203646,1000.0
0.753,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.3_with_chi.csv,fake,KNN,0.4,1,0.753,385,132,115,368,0.7446808510638298,0.77,0.7571288102261554,500.0,0.7619047619047619,0.736,0.7487283825025433,500.0,0.7532928064842959,0.753,0.7529285963643493,1000.0,0.7532928064842959,0.753,0.7529285963643494,1000.0
0.792,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.3_with_chi.csv,fake,RF,0.5,1,0.792,424,132,76,368,0.762589928057554,0.848,0.803030303030303,500.0,0.8288288288288288,0.736,0.7796610169491526,500.0,0.7957093784431915,0.792,0.7913456599897277,1000.0,0.7957093784431913,0.792,0.7913456599897277,1000.0
0.723,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.3_with_chi.csv,fake,DT,0.5,1,0.723,325,102,175,398,0.7611241217798594,0.65,0.7011866235167206,500.0,0.6945898778359512,0.796,0.7418452935694315,500.0,0.7278569998079053,0.7230000000000001,0.721515958543076,1000.0,0.7278569998079054,0.723,0.721515958543076,1000.0
0.54,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.3_with_chi.csv,fake,SVC,0.5,1,0.54,499,459,1,41,0.5208768267223383,0.998,0.6844993141289437,500.0,0.9761904761904762,0.082,0.15129151291512916,500.0,0.7485336514564072,0.54,0.4178954135220364,1000.0,0.7485336514564072,0.54,0.41789541352203646,1000.0
0.752,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.3_with_chi.csv,fake,KNN,0.5,1,0.752,385,133,115,367,0.7432432432432432,0.77,0.756385068762279,500.0,0.7614107883817427,0.734,0.7474541751527495,500.0,0.752327015812493,0.752,0.7519196219575142,1000.0,0.752327015812493,0.752,0.7519196219575142,1000.0
0.8,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.4_with_chi.csv,fake,RF,0.1,1,0.8,427,127,73,373,0.7707581227436823,0.854,0.8102466793168881,500.0,0.8363228699551569,0.746,0.7885835095137421,500.0,0.8035404963494196,0.8,0.7994150944153151,1000.0,0.8035404963494195,0.8,0.799415094415315,1000.0
0.723,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.4_with_chi.csv,fake,DT,0.1,1,0.723,325,102,175,398,0.7611241217798594,0.65,0.7011866235167206,500.0,0.6945898778359512,0.796,0.7418452935694315,500.0,0.7278569998079053,0.7230000000000001,0.721515958543076,1000.0,0.7278569998079054,0.723,0.721515958543076,1000.0
0.54,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.4_with_chi.csv,fake,SVC,0.1,1,0.54,499,459,1,41,0.5208768267223383,0.998,0.6844993141289437,500.0,0.9761904761904762,0.082,0.15129151291512916,500.0,0.7485336514564072,0.54,0.4178954135220364,1000.0,0.7485336514564072,0.54,0.41789541352203646,1000.0
0.75,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.4_with_chi.csv,fake,KNN,0.1,1,0.75,384,134,116,366,0.7413127413127413,0.768,0.7544204322200393,500.0,0.7593360995850622,0.732,0.745417515274949,500.0,0.7503244204489017,0.75,0.7499189737474942,1000.0,0.7503244204489017,0.75,0.7499189737474942,1000.0
